Appendix — 34_lib_actions,,,,,,,
Copied from the latest tailored AI Readiness content pack.,,,,,,,
,,,,,,,
action_id,recommendation_id,action_summary,owner_role,timeline_band,roadmap_phase,,
AIR-A001,AIR-R001,"Run an executive workshop that defines the AI thesis, top business problems, success outcomes, and sponsorship model.",CEO / COO / Strategy Lead,0–30 days,Phase 1,,
AIR-A002,AIR-R002,"Build a formal AI use case intake and scoring matrix covering value, feasibility, data, risk, ownership, and timing.",COO / Transformation Lead,0–30 days,Phase 1,,
AIR-A003,AIR-R003,"Approve a pilot portfolio with named sponsors, stage gates, funding assumptions, and decision checkpoints.",Executive Sponsor / PMO,30–60 days,Phase 3,,
AIR-A004,AIR-R004,"Map the top candidate workflows end to end and classify each issue as process, automation, or AI.",Operations Lead / Process Analyst,0–30 days,Phase 1,,
AIR-A005,AIR-R005,"Document workflow pain points, transaction volume, review points, and target outcomes for each shortlisted use case.",Process Owner / Ops Analyst,0–30 days,Phase 1,,
AIR-A006,AIR-R006,"Create pilot operating designs for the top 1–2 workflows, including trigger, user step, review rule, and KPI.",Operations Lead / Product Owner,30–60 days,Phase 3,,
AIR-A007,AIR-R007,"Produce a data dependency register showing the exact fields, documents, transcripts, and knowledge sources each pilot requires.",Data Lead / Business Analyst,0–30 days,Phase 1,,
AIR-A008,AIR-R008,"Standardise critical fields, assign dataset owners, and remediate the highest-impact data quality issues for pilot scope.",Data Owner / Systems Owner,30–60 days,Phase 1,,
AIR-A009,AIR-R009,"Curate the approved datasets and knowledge assets that will feed each pilot, with freshness and access rules.",Data Lead / Knowledge Owner,30–60 days,Phase 3,,
AIR-A010,AIR-R010,"Build a current-state system map showing source systems, handoffs, insertion points, and manual transfers in each pilot workflow.",Systems Lead / Solutions Architect,0–30 days,Phase 2,,
AIR-A011,AIR-R011,"Design the target integration and embedding flow for each shortlisted pilot, including support and security ownership.",Solutions Architect / Engineering Lead,30–60 days,Phase 2,,
AIR-A012,AIR-R012,"Implement pilot outputs directly into the operational tool of record, such as the CRM, ticketing queue, or proposal workflow.",Systems Lead / Engineering Lead,60–90 days,Phase 3,,
AIR-A013,AIR-R013,"Standardise the workflow, remove obvious rework, and automate simple rule-based steps before enabling AI.",Operations Lead / Continuous Improvement Lead,0–30 days,Phase 2,,
AIR-A014,AIR-R014,"Clarify SOPs, exception categories, handoff rules, and reviewer triggers in the selected workflows.",Process Owner / Quality Lead,30–60 days,Phase 2,,
AIR-A015,AIR-R015,Select the most mature workflow and prepare it as the first controlled AI pilot with explicit oversight design.,COO / Operations Lead,30–60 days,Phase 3,,
AIR-A016,AIR-R016,"Publish an AI usage and data-handling standard that defines approved tools, prohibited data use, and review requirements.",Risk Lead / Compliance Lead,0–30 days,Phase 1,,
AIR-A017,AIR-R017,"Create a pilot control pack covering human approval rules, vendor-risk checks, access controls, logging, and escalation.",Risk Lead / Security Lead,30–60 days,Phase 3,,
AIR-A018,AIR-R018,"Embed audit review, incident escalation, and governance cadence into the live pilot operating model.",AI Governance Lead / Risk Owner,60–90 days,Phase 3,,
AIR-A019,AIR-R019,Appoint an adoption owner and build a change-readiness plan for the affected teams and managers.,Transformation Lead / HR Lead,0–30 days,Phase 3,,
AIR-A020,AIR-R020,"Deliver role-based training for users, reviewers, managers, and support teams in each pilot workflow.",L&D Lead / Department Manager,30–60 days,Phase 3,,
AIR-A021,AIR-R021,"Establish manager champions, adoption feedback loops, and reinforcement actions to support scale beyond the first pilots.",Change Lead / Department Head,60–90 days,Phase 4,,
AIR-A022,AIR-R022,"Define the baseline, success criteria, and value assumptions for each priority AI use case before launch.",Finance Lead / Operations Lead,0–30 days,Phase 1,,
AIR-A023,AIR-R023,"Build a pilot KPI scorecard with pre/post comparison rules, review cadence, and scale-or-stop thresholds.",Finance Lead / PMO / Ops Analyst,30–60 days,Phase 3,,
AIR-A024,AIR-R024,"Review AI portfolio performance on a fixed cadence and approve scale, redesign, or stop decisions based on evidence.",Executive Sponsor / Finance Lead,90+ days,Phase 4,,
