field_name,type,required,example,rule
finding_id,text,Y,FND-DFD-D03-CW,Unique primary key
module_code,text,Y,DFD,Fixed = DFD
domain_id,text,Y,D03,Foreign key to dfd_domains.domain_id
score_trigger_band,text,Y,1-2,"Allowed values: 1-2, 3, 4-5"
finding_title,text,Y,Material data quality issues,Required
observation_template,long_text,Y,"Duplicates, missing values, stale records, and inconsistent categorisation materially reduce trust in the data.",Required
impact_template,long_text,Y,Management reporting and operational control are weakened because the data requires correction before use.,Required
root_cause_template,long_text,Y,"No structured cleanup routine, weak validation rules, and poor stewardship discipline.",Required
severity_default,text,Y,Critical / Weak,Must align with score band
is_active,boolean,Y,TRUE,Only active records used
